id,descricao,valor,data_transacao,categoria_nome
22952,MORA OPERACAO DE CREDITO - CONTR 006297286 PARC 013/020 - DOCTO: 6210091,1459.65,2026-04-03T02:35:01,JUROS E ENCARGOS
22975,IOF ADIC ROTATIVO/ATRASO,0.33,2026-04-01T23:21:46.065000,JUROS E ENCARGOS
22989,JUROS DE MORA,0.02,2026-03-24T23:22:56.017000,JUROS E ENCARGOS
22990,ENCARGOS DE ATRASO,0.39,2026-03-24T23:22:56.017000,JUROS E ENCARGOS
22991,MULTA CONTRATUAL,1.77,2026-03-24T23:22:56.017000,JUROS E ENCARGOS
22994,ANUIDADE DIFERENCIADA,61.0,2026-03-23T19:40:40.003000,JUROS E ENCARGOS
22995,ANUIDADE DIFERENCIADA,49.0,2026-03-23T19:40:40.003000,JUROS E ENCARGOS
23012,TARIFA BANCARIA - CESTA UNIVERSITARIA - DOCTO: 20326,12.25,2026-03-17T03:05:39,JUROS E ENCARGOS
23071,MORA OPERACAO DE CREDITO - CONTR 006297286 PARC 012/020 - DOCTO: 6210058,1598.24,2026-03-03T04:33:25,JUROS E ENCARGOS
23112,ANUIDADE DIFERENCIADA,49.0,2026-02-20T19:40:40.003000,JUROS E ENCARGOS
23113,ANUIDADE DIFERENCIADA,61.0,2026-02-20T19:40:40.003000,JUROS E ENCARGOS
23118,TARIFA BANCARIA - CESTA UNIVERSITARIA - DOCTO: 20226,12.25,2026-02-19T02:21:26,JUROS E ENCARGOS
23217,MORA OPERACAO DE CREDITO - CONTR 006297286 PARC 011/020 - DOCTO: 6210026,1493.24,2026-01-28T04:10:37,JUROS E ENCARGOS
23227,ANUIDADE DIFERENCIADA,61.0,2026-01-23T19:40:40.003000,JUROS E ENCARGOS
23228,ANUIDADE DIFERENCIADA,49.0,2026-01-23T19:40:40.003000,JUROS E ENCARGOS
23250,TARIFA BANCARIA - CESTA UNIVERSITARIA - DOCTO: 20126,12.25,2026-01-17T02:33:02,JUROS E ENCARGOS
